age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
91,?,84473,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,4356,45,United-States,<=50K
84,Private,130186,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,16,United-States,<=50K
67,?,184825,Some-college,10,Widowed,?,Unmarried,Black,Female,0,4356,39,United-States,<=50K
58,Private,138133,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,44,United-States,<=50K
45,Private,260196,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,44,United-States,<=50K
35,Private,229335,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,1146,3770,48,United-States,<=50K
39,Private,143947,10th,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,45,United-States,<=50K
76,State-gov,89520,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,24,United-States,>50K
71,Federal-gov,430359,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,<=50K
43,Private,66418,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,58,?,>50K
48,Private,189462,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,>50K
42,Self-emp-not-inc,153830,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,43,United-States,>50K
56,Private,133885,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,18,United-States,>50K
37,Private,136995,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,52,United-States,>50K
52,?,179244,Doctorate,16,Never-married,?,Not-in-family,White,Male,0,2956,44,United-States,>50K
47,Private,47667,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,44,United-States,>50K
46,Private,166946,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,183,2824,75,United-States,>50K
60,Private,319159,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,1577,2824,47,United-States,>50K
26,Private,114964,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,44,?,>50K
38,Private,186509,Bachelors,13,Separated,Sales,Not-in-family,White,Male,1923,2824,49,United-States,>50K
40,Private,203792,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,42,United-States,>50K
31,Private,75201,11th,7,Separated,Sales,Not-in-family,White,Female,0,2754,40,United-States,<=50K
66,Private,27325,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,2754,27,United-States,<=50K
55,Private,148614,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,1960,2603,37,United-States,<=50K
62,?,145619,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,1388,2603,30,United-States,<=50K
24,Private,37481,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,42,United-States,<=50K
35,Private,247246,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,35,Mexico,<=50K
54,Private,117349,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,39,Greece,<=50K
39,Self-emp-inc,117489,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,51,United-States,>50K
41,Private,161416,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2608,91,United-States,>50K
24,Private,45444,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States,>50K
63,Self-emp-inc,99362,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,1972,2732,47,United-States,>50K
57,Private,186663,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,437,2559,65,United-States,>50K
54,Private,117254,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,53,United-States,>50K
