age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
98,admin.,married,secondary,no,30133,yes,no,unknown,126,may,3025,1,38,24,unknown,yes
39,admin.,married,secondary,no,3309,no,no,unknown,194,may,4463,1,1734,21,unknown,yes
42,technician,married,secondary,no,31039,yes,no,unknown,117,may,4121,1,1683,29,unknown,yes
41,services,married,secondary,no,-13909,yes,no,unknown,149,may,1848,1,93,16,unknown,yes
97,admin.,married,tertiary,no,16836,no,no,unknown,153,may,3063,2,1417,17,unknown,yes
80,management,single,tertiary,no,195,yes,yes,unknown,186,may,2611,2,56,18,unknown,yes
66,management,married,tertiary,no,8432,yes,yes,unknown,114,may,3808,1,127,11,unknown,yes
42,retired,divorced,secondary,no,-8924,yes,no,unknown,161,may,2037,1,1056,12,unknown,yes
23,technician,married,secondary,no,15890,yes,no,unknown,198,may,867,1,1382,26,unknown,yes
34,services,single,secondary,no,32936,yes,no,unknown,149,may,1715,3,12,13,unknown,yes
76,admin.,single,secondary,no,-12244,yes,no,unknown,152,may,3435,1,195,24,unknown,yes
25,blue-collar,married,secondary,no,46421,yes,no,unknown,121,may,1677,2,282,15,unknown,yes
52,management,married,tertiary,no,42377,yes,yes,unknown,142,may,2361,4,285,23,unknown,yes
67,blue-collar,single,tertiary,no,-18871,yes,no,unknown,166,may,3894,2,191,20,unknown,yes
50,technician,single,tertiary,no,2867,yes,no,unknown,175,may,2124,2,555,21,unknown,yes
71,management,divorced,tertiary,no,-14218,yes,no,unknown,145,may,3227,1,1135,20,unknown,yes
62,blue-collar,single,primary,no,-13623,yes,no,unknown,157,may,2061,3,876,15,unknown,yes
44,services,married,secondary,no,42044,yes,no,unknown,168,may,3190,1,460,23,unknown,yes
23,admin.,married,secondary,no,15930,yes,no,unknown,147,may,1497,2,326,22,unknown,yes
81,admin.,divorced,secondary,no,11255,yes,yes,unknown,174,may,717,1,1800,16,unknown,yes
41,admin.,divorced,secondary,no,-11480,yes,no,unknown,128,may,3282,2,200,16,unknown,yes
43,management,single,tertiary,no,1747,yes,no,unknown,164,may,3405,1,666,25,unknown,yes
42,management,divorced,tertiary,no,-13340,yes,no,unknown,205,may,2259,2,1865,13,unknown,yes
59,blue-collar,married,primary,no,40126,yes,no,unknown,169,may,1959,2,490,20,unknown,yes
44,unemployed,single,secondary,no,40097,yes,no,unknown,163,may,1785,2,1662,24,unknown,yes
71,blue-collar,single,secondary,no,6140,yes,no,unknown,198,may,1615,4,423,17,unknown,yes
15,technician,single,tertiary,no,44056,yes,no,unknown,184,may,2630,3,1988,27,unknown,yes
90,blue-collar,single,secondary,no,18428,yes,no,unknown,159,may,1023,3,951,15,unknown,yes
17,admin.,married,secondary,no,19034,yes,no,unknown,189,may,3349,1,1478,27,unknown,yes
77,blue-collar,single,secondary,no,21644,yes,no,unknown,112,may,1777,1,1053,25,unknown,yes
59,blue-collar,married,secondary,yes,-5245,yes,no,unknown,190,may,1207,1,484,12,unknown,yes
93,technician,married,primary,no,-9240,yes,no,unknown,124,may,1207,2,150,10,unknown,yes
17,blue-collar,single,secondary,no,13452,yes,no,unknown,144,may,2291,1,633,26,unknown,yes
33,blue-collar,married,secondary,no,41377,yes,no,unknown,166,may,2807,2,86,24,unknown,yes
17,blue-collar,divorced,primary,no,4379,yes,no,unknown,128,may,1416,2,1017,20,unknown,yes
80,management,single,tertiary,no,17009,no,no,unknown,179,may,2947,2,1721,22,unknown,yes
83,blue-collar,married,primary,no,49793,no,no,unknown,117,may,3170,4,553,24,unknown,yes
63,management,divorced,secondary,no,42748,yes,no,unknown,184,may,4094,1,390,25,unknown,yes
38,management,married,tertiary,no,34249,yes,no,unknown,151,may,3019,4,1001,21,unknown,yes
68,entrepreneur,single,primary,no,45769,yes,no,unknown,131,may,2157,2,1406,22,unknown,yes
100,blue-collar,married,primary,no,26436,yes,yes,unknown,186,may,1467,1,479,28,unknown,yes
43,management,married,tertiary,no,23602,yes,no,unknown,174,may,2512,2,1718,13,unknown,yes
