customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,9,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.45,74.85,No
5575-GNVDE,Male,0,No,No,37,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,58.45,1907.65,No
3668-QPYBK,Male,0,No,No,10,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,60.75,195.09,Yes
7795-CFOCW,Male,0,No,No,52,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),50.1,1935.13,No
9237-HQITU,Female,0,No,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.3,198.09,Yes
9305-CDSKC,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.35,950.48,Yes
1452-KIOVK,Male,0,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.7,2039.82,No
6713-OKOMC,Female,0,No,No,18,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,35.05,373.98,No
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.8,3072.45,Yes
6388-TABGU,Male,0,No,Yes,69,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),57.35,3503.67,No
9763-GRSKD,Male,0,Yes,Yes,17,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,63.05,760.37,No
7469-LKBCI,Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.35,478.42,No
8091-TTVAX,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),110.65,5809.85,No
0280-XJGEX,Male,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),123.9,5315.06,Yes
5129-JLPIS,Male,0,No,No,36,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.2,2734.89,No
3655-SNQYZ,Female,0,Yes,Yes,80,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),130.75,8115.65,No
8191-XWSZG,Female,0,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,35.15,1220.15,No
9959-WOFKT,Male,0,No,Yes,80,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),124.3,7607.53,No
